Pj,d_sj,h_x
0.005050505050505051,0.4595959595959596,1.0
0.005050505050505051,0.46464646464646464,1.0
0.005050505050505051,0.4696969696969697,1.0
0.005050505050505051,0.47474747474747475,1.0
0.005050505050505051,0.4797979797979798,1.0
0.005050505050505051,0.48484848484848486,1.0
0.005050505050505051,0.4898989898989899,1.0
0.005050505050505051,0.494949494949495,1.0
0.005050505050505051,0.5,1.0
0.010101010101010102,0.0,1.0
0.010101010101010102,0.005050505050505051,1.0
0.010101010101010102,0.010101010101010102,1.0
0.010101010101010102,0.015151515151515152,1.0
0.010101010101010102,0.020202020202020204,1.0
0.010101010101010102,0.025252525252525252,1.0
0.010101010101010102,0.030303030303030304,1.0
0.010101010101010102,0.03535353535353535,1.0
0.010101010101010102,0.04040404040404041,1.0
0.010101010101010102,0.045454545454545456,1.0
0.010101010101010102,0.050505050505050504,1.0
0.010101010101010102,0.05555555555555555,1.0
0.010101010101010102,0.06060606060606061,1.0
0.010101010101010102,0.06565656565656566,1.0
0.010101010101010102,0.0707070707070707,1.0
0.010101010101010102,0.07575757575757576,1.0
0.010101010101010102,0.08080808080808081,1.0
0.010101010101010102,0.08585858585858586,1.0
0.010101010101010102,0.09090909090909091,1.0
0.010101010101010102,0.09595959595959595,1.0
0.010101010101010102,0.10101010101010101,1.0
0.010101010101010102,0.10606060606060606,1.0
0.010101010101010102,0.1111111111111111,1.0
0.010101010101010102,0.11616161616161616,1.0
0.010101010101010102,0.12121212121212122,1.0
0.010101010101010102,0.12626262626262627,1.0
0.010101010101010102,0.13131313131313133,1.0
0.010101010101010102,0.13636363636363635,1.0
0.010101010101010102,0.1414141414141414,1.0
0.010101010101010102,0.14646464646464646,1.0
0.010101010101010102,0.15151515151515152,1.0
0.010101010101010102,0.15656565656565657,1.0
0.010101010101010102,0.16161616161616163,1.0
0.010101010101010102,0.16666666666666666,1.0
0.010101010101010102,0.1717171717171717,1.0
0.010101010101010102,0.17676767676767677,1.0
0.010101010101010102,0.18181818181818182,1.0
0.010101010101010102,0.18686868686868688,1.0
0.010101010101010102,0.1919191919191919,1.0
0.010101010101010102,0.19696969696969696,1.0
0.010101010101010102,0.20202020202020202,1.0
0.010101010101010102,0.20707070707070707,1.0
0.010101010101010102,0.21212121212121213,1.0
0.010101010101010102,0.21717171717171718,1.0
0.010101010101010102,0.2222222222222222,1.0
0.010101010101010102,0.22727272727272727,1.0
